Date,humidity
16/09/20,53.7998
17/09/20,54.9284
18/09/20,54.9644
19/09/20,59.0234
20/09/20,61.88
21/09/20,64.58
22/09/20,66.9002
23/09/20,64.328
24/09/20,63.2516
25/09/20,58.1936
26/09/20,55.283
27/09/20,54.3596
28/09/20,52.3022
29/09/20,52.7882
30/09/20,55.8266
01/10/20,57.7958
02/10/20,63.6638
03/10/20,65.3684
04/10/20,66.191
05/10/20,65.5322
06/10/20,61.9322
07/10/20,58.2872
08/10/20,55.0526
09/10/20,53.9006
10/10/20,53.2256
11/10/20,54.5594
12/10/20,58.4798
13/10/20,60.8378
14/10/20,61.7522
15/10/20,64.5638
16/10/20,65.4908
17/10/20,64.9724
18/10/20,59.9396
19/10/20,56.6096
20/10/20,54.2228
21/10/20,51.7082
22/10/20,53.0798
23/10/20,53.4452
24/10/20,56.5988
25/10/20,59.7758
26/10/20,61.889
27/10/20,62.4236
28/10/20,63.1724
29/10/20,64.0778
30/10/20,62.186
31/10/20,56.1326
01/11/20,55.4378
02/11/20,52.4426
03/11/20,51.7064
04/11/20,56.057
05/11/20,56.237
06/11/20,60.3158
07/11/20,64.8428
08/11/20,64.2218
09/11/20,63.4064
10/11/20,64.6448
11/11/20,58.9316
12/11/20,58.8992
13/11/20,54.2822
14/11/20,52.457
15/11/20,52.3832
16/11/20,55.8914
17/11/20,56.2028
18/11/20,60.5894
19/11/20,62.8142
20/11/20,65.156
21/11/20,67.4546
22/11/20,65.849
23/11/20,62.5262
24/11/20,58.9658
25/11/20,54.149
26/11/20,53.447
27/11/20,52.9862
28/11/20,55.6736
29/11/20,56.372
30/11/20,60.2996
01/12/20,61.88
02/12/20,62.8358
03/12/20,66.5078
04/12/20,65.1218
05/12/20,62.3894
06/12/20,58.1054
07/12/20,55.724
08/12/20,53.7368
09/12/20,53.5478
10/12/20,54.7124
11/12/20,56.4116
12/12/20,59.909
13/12/20,61.3328
14/12/20,63.95
15/12/20,64.0076
16/12/20,65.8814
17/12/20,62.3336
18/12/20,56.9372
19/12/20,55.7726
20/12/20,53.2382
21/12/20,52.5848
22/12/20,55.3298
23/12/20,55.2326
24/12/20,57.9938
25/12/20,63.0734
26/12/20,66.4988
27/12/20,67.5698
28/12/20,66.0056
29/12/20,59.7668
30/12/20,57.5726
31/12/20,54.7052
