,humidity
0,52.3886
1,52.853
2,52.5776
3,54.8726
4,56.6888
5,59.846000000000004
6,64.5908
7,65.372
8,64.9688
9,59.927
10,57.5042
11,54.518
12,53.1914
13,52.8044
14,53.3912
15,54.7538
16,57.317
17,60.0296
18,63.3578
19,64.346
20,63.6584
21,61.5848
22,58.0028
23,54.842
24,53.1554
25,52.3094
26,52.61
27,57.407
28,58.1558
29,60.9206
