Time,Temperature,,
116,38.1938,,
117,33.4778,,
118,36.4208,,
119,34.9592,,
120,35.0888,,
121,36.473,,
122,36.4622,,
123,35.0942,,
124,36.4136,,
125,36.9932,,
126,34.1114,,
127,34.5272,,
128,38.0174,,
129,35.2328,,
130,36.8744,,
131,35.1392,,
132,34.2806,,
133,33.89,,
134,35.4272,,
135,35.0474,,
136,34.0502,,
137,35.3516,,
138,35.699,,
139,34.2896,,
140,34.3958,,
141,33.53,,
142,34.1438,,
143,34.1672,,
144,34.538,,
145,34.0268,,
146,33.6254,,
147,33.35,,
148,33.6866,,
149,33.6542,,
150,34.5542,,
151,34.7252,,
152,35.87,,
153,37.0598,,
154,33.9728,,
155,35.6576,,
156,33.3356,,
157,35.5928,,
158,35.4722,,
159,34.8548,,
160,35.5748,,
161,36.5792,,
162,33.9656,,
163,33.8522,,
164,33.7244,,
165,34.1978,,
166,34.169,,
167,33.1286,,
168,33.1952,,
169,33.7262,,
170,33.9566,,
171,33.3356,,
172,33.1304,,
173,36.9788,,
174,34.8782,,
175,33.5264,,
176,35.492,,
177,34.3634,,
178,35.9942,,
179,34.4786,,
180,33.782,,
181,34.1078,,
182,33.4994,,
183,33.3518,,
184,33.566,,
185,34.1096,,
186,34.1708,,
187,36.3254,,
188,36.3668,,
189,33.8342,,
190,34.7054,,
191,33.5678,,
192,33.935,,
193,33.2942,,
194,33.3734,,
195,33.1178,,
196,33.7802,,
197,33.0458,,
198,35.015,,
199,33.7406,,
200,34.394,,
201,33.9476,,
202,34.0466,,
203,33.98,,
204,33.9854,,
205,33.4436,,
206,33.107,,
207,33.6362,,
208,33.728,,
209,34.7918,,
210,34.3742,,
211,34.3184,,
212,35.1644,,
213,33.8234,,
214,33.6416,,
215,33.0944,,
216,32.9648,,
217,32.981,,
218,33.3392,,
219,33.1142,,
220,33.872,,
221,33.692,,
222,33.7352,,
223,36.6854,,
224,34.6784,,
225,33.9134,,
226,35.069,,
227,33.6362,,
228,33.908,,
229,33.674,,
230,33.9512,,
231,33.2042,,
232,33.4904,,
233,33.7838,,
234,35.3786,,
235,34.1366,,
236,33.4868,,
237,33.8072,,
238,35.1158,,
239,33.4724,,
240,33.1826,,
241,33.2186,,
242,32.801,,
243,33.809,,
244,33.5138,,
245,33.1106,,
246,33.4904,,
247,34.8296,,
248,34.2734,,
249,34.5434,,
250,33.8036,,
251,33.9134,,
252,34.3436,,
253,33.3482,,
254,33.026,,
255,32.8478,,
256,33.0224,,
257,33.2366,,
258,33.7172,,
259,33.6434,,
260,34.2158,,
261,33.3932,,
262,33.9026,,
263,33.4238,,
264,33.7712,,
265,33.5912,,
266,32.8604,,
267,33.1052,,
268,33.0854,,
269,33.8144,,
270,33.6596,,
271,33.764,,
272,33.6992,,
273,33.7802,,
274,33.7154,,
275,33.188,,
276,34.5218,,
277,33.9188,,
278,33.4616,,
279,32.7956,,
280,33.4634,,
281,33.9296,,
282,34.5758,,
283,34.5128,,
284,34.7774,,
285,33.3734,,
286,34.2932,,
287,33.3482,,
288,34.8152,,
289,33.215,,
290,33.8036,,
291,33.1988,,
292,33.5372,,
293,33.6866,,
294,35.7062,,
295,34.3778,,
296,35.1212,,
297,34.2644,,
298,33.9962,,
299,34.052,,
300,33.7982,,
301,33.5354,,
302,33.5192,,
303,33.692,,
304,33.4418,,
305,34.2428,,
306,34.4606,,
307,33.7712,,
308,33.9836,,
309,33.1502,,
310,34.4192,,
311,34.0988,,
312,33.449,,
313,33.8054,,
314,33.4094,,
315,33.341,,
316,33.3374,,
317,33.4724,,
318,33.5606,,
319,34.0232,,
